address,borough,unitsres
104-20 38 AVENUE,QN,8
104-28 38 AVENUE,QN,8
37-74 104 STREET,QN,3
37-72 104 STREET,QN,3
108-16 37 AVENUE,QN,4
37-43 108 STREET,QN,4
37-47 108 STREET,QN,8
37-45 108 STREET,QN,8
37-41 108 STREET,QN,4
37-51 108 STREET,QN,3
37-53 108 STREET,QN,3
103-22 CORONA AVENUE,QN,3
103-24 CORONA AVENUE,QN,3
108-22 38 AVENUE,QN,8
108-55 ROOSEVELT AVENUE,QN,6
104-64 43 AVENUE,QN,4
34-38 110 STREET,QN,6
34-36 110 STREET,QN,6
104-32 41 AVENUE,QN,3
218 MONTROSE AVENUE,BK,3
20 ARION PLACE,BK,8
34 BELVIDERE STREET,BK,8
30 BELVIDERE STREET,BK,7
480 KOSCIUSZKO STREET,BK,8
596 QUINCY STREET,BK,4
823 WILLOUGHBY AVENUE,BK,8
108-04 34 AVENUE,QN,3
108-06 34 AVENUE,QN,3
41-56 CASE STREET,QN,4
93-17 LAMONT AVENUE,QN,3
93-13 LAMONT AVENUE,QN,8
40-43 97 STREET,QN,6
102-09 37 AVENUE,QN,6
 BOERUM STREET,BK,8
900 WILLOUGHBY AVENUE,BK,7
894 WILLOUGHBY AVENUE,BK,7
34-59 107 STREET,QN,3
108-05 36 AVENUE,QN,3
108-15 37 AVENUE,QN,8
35-28 97 STREET,QN,8
35-43 97 STREET,QN,4
101-24 39 AVENUE,QN,4
101-22 39 AVENUE,QN,4
101-20 39 AVENUE,QN,4
